id,name,region,province,type,description,best_season,highlights,entrance_fee,nearby
1,Doi Inthanon National Park,Northern Thailand,Chiang Mai,National Park,"Doi Inthanon is the highest mountain in Thailand at 2,565 meters above sea level. The national park features spectacular waterfalls such as Mae Ya Waterfall and Wachirathan Waterfall, misty forests, and diverse wildlife. Visitors can see rhododendron flowers blooming from November to February. Two royal chedis dedicated to the King and Queen are located at the summit. Over 380 bird species are recorded.",November to February,"Highest peak in Thailand, royal chedis, waterfalls, bird watching, cool climate",300 THB foreigners / 30 THB Thais,Chiang Mai city
2,Wat Phra That Doi Suthep,Northern Thailand,Chiang Mai,Temple,"Wat Phra That Doi Suthep is one of Thailand's most sacred Buddhist temples, perched 1,073 meters above sea level on Doi Suthep mountain overlooking Chiang Mai city. The golden chedi is a magnificent landmark visible from the city. A white elephant carried a sacred relic up the mountain and died on this spot according to legend. Visitors climb 306 steps flanked by Naga serpents or take the cable car.",October to March,"Golden chedi, panoramic Chiang Mai views, Naga staircase, sacred Buddhist relic",50 THB foreigners / free for Thais,Chiang Mai Old City
3,White Temple (Wat Rong Khun),Northern Thailand,Chiang Rai,Temple / Art,"Wat Rong Khun, known as the White Temple, is a contemporary Buddhist temple designed by artist Chalermchai Kositpipat. The structure is covered in white plaster embedded with mirror glass, symbolizing purity. The bridge of rebirth crosses a sea of hands reaching upward, symbolizing those trapped in suffering. The interior features murals mixing pop culture characters with Buddhist themes.",November to April,"Unique white architecture, mirror glass art, symbolic bridge, pop art murals",100 THB foreigners / free for Thais,"Chiang Rai city, Blue Temple"
4,Blue Temple (Wat Rong Suea Ten),Northern Thailand,Chiang Rai,Temple,"Wat Rong Suea Ten, the Blue Temple, is a stunning azure-colored temple in Chiang Rai completed in 2016. The name means Temple of the Dancing Tiger. Vivid cobalt blue hues combined with gold accents and intricate dragon carvings make it one of the most photogenic temples in Thailand. A large white Buddha sits at the center. The temple is free to enter and less crowded than the White Temple.",Year-round,"Vibrant blue architecture, white Buddha, dragon sculptures",Free,"White Temple, Chiang Rai city"
5,Golden Triangle,Northern Thailand,Chiang Rai,Historical Site,"The Golden Triangle is where the borders of Thailand, Laos, and Myanmar meet at the confluence of the Ruak and Mekong rivers. Once notorious as one of the largest opium-producing regions, today it is a major tourist destination. Visitors can see all three countries from one spot, take boat trips on the Mekong, and visit the House of Opium museum. The area offers stunning riverside scenery.",November to February,"Three-country viewpoint, Mekong River, opium museum, boat trips",Free (museum charges separately),"Chiang Saen, Chiang Rai"
6,Grand Palace and Wat Phra Kaew,Central Thailand,Bangkok,Palace / Temple,"The Grand Palace is the most iconic landmark in Bangkok, serving as the official royal residence since 1782. Within its walls lies Wat Phra Kaew (Temple of the Emerald Buddha), home to the most revered image in Thai Buddhism. The complex covers 218,000 square meters with hundreds of ornate buildings blending Thai and European Baroque architecture. Visitors must dress modestly with covered shoulders and legs.",November to March,"Emerald Buddha, royal buildings, intricate Thai architecture",500 THB (includes Wat Pho access),"Wat Arun, Wat Pho, Chao Phraya River"
7,Wat Arun (Temple of Dawn),Central Thailand,Bangkok,Temple,"Wat Arun stands on the west bank of the Chao Phraya River. Its central prang rises 79 meters and is decorated with Chinese porcelain fragments and colorful ceramics. The temple is dedicated to Aruna, the Hindu god of dawn. It is particularly stunning at sunrise and when illuminated at night. Visitors can climb the steep prang steps for panoramic river views.",November to March,"Prang tower, Chao Phraya views, porcelain mosaic, sunrise scenery",100 THB,"Grand Palace, Wat Pho"
8,Chatuchak Weekend Market,Central Thailand,Bangkok,Market / Shopping,"Chatuchak Weekend Market is one of the world's largest markets, covering 35 acres with more than 8,000 stalls and 200,000 visitors every weekend. Open only Saturday and Sunday, it sells antiques, handicrafts, clothing, plants, pets, street food, and art. The market is organized into 27 sections. It is a treasure hunter's paradise and one of the best places to experience authentic Thai shopping culture.",Year-round (weekends only 9am-6pm),"8,000+ stalls, antiques, street food, Thai handicrafts",Free,Mo Chit BTS station
9,Ayutthaya Historical Park,Central Thailand,Ayutthaya,UNESCO Heritage / Historical,"Ayutthaya was the second capital of the Siamese Kingdom and one of Asia's most prosperous cities during the 14th-18th centuries. The UNESCO World Heritage park contains temple ruins, monasteries, and statues. Notable sites include Wat Mahathat with its famous Buddha head entwined in tree roots, and Wat Phra Si Sanphet with three iconic chedis. The park is best explored by bicycle.",October to February,"UNESCO ruins, Buddha head in tree roots, ancient chedis",50 THB per temple,"Bangkok (80 km), Bang Pa-In Royal Palace"
10,Floating Markets of Bangkok,Central Thailand,Bangkok / Samut Songkhram,Cultural Market,"Thailand's floating markets are iconic experiences where vendors sell food, fruits, and goods from wooden boats on waterways. Amphawa Floating Market (open weekends) is known for evening firefly boat tours and fresh seafood. Damnoen Saduak is the most famous and photogenic. Taling Chan near Bangkok is local and relaxed. These markets offer unique Thai cuisine including boat noodles and grilled seafood.",Year-round (check specific market days),"Boat vendors, fresh local food, canal boat tours, Thai atmosphere",Free (pay for food and boat rides),"Bangkok, Ratchaburi province"
11,Koh Chang,Eastern Thailand,Trat,Island / Beach,"Koh Chang is Thailand's second-largest island, offering pristine beaches, tropical rainforest, waterfalls, and coral reefs. White Sand Beach is the most developed. Lonely Beach is popular with backpackers. Klong Plu Waterfall is reachable by a short jungle trek. Mountains cover 70% of the land, keeping it natural. Snorkeling and diving around nearby smaller islands is excellent.",November to April,"Pristine beaches, jungle waterfalls, snorkeling, rainforest trekking",200 THB national park fee,"Koh Kood, Koh Mak"
